LEA_STATE,LEAID,SCH_ALTFOCUS,SCH_STATUS_ALT,SCHID,SCH_NAME,COMBOKEY,SCH_ENR_BL_F,TOT_ENR_M,TOT_ENR_F,SCH_IDEAENR_BL_F,SCH_504ENR_BL_F,SCH_DUAL_IND,SCH_GT_IND,SCH_GTENR_BL_F,SCH_IBENR_IND,SCH_SATACT_BL_F,total_population,SCH_OFFENSE_RAPE_rate,SCH_OFFENSE_BATT_rate,SCH_OFFENSE_ROBWW_rate,SCH_OFFENSE_ROBWX_rate,SCH_OFFENSE_ROBWOW_rate,SCH_OFFENSE_ATTWW_rate,SCH_OFFENSE_ATTWX_rate,SCH_OFFENSE_ATTWOW_rate,SCH_OFFENSE_THRWW_rate,SCH_OFFENSE_THRWX_rate,SCH_OFFENSE_THRWOW_rate,SCH_OFFENSE_POSSWX_rate,SCH_FTETEACH_TOT_per_student,SCH_FTETEACH_NOTCERT_per_student,SCH_FTECOUNSELORS_per_student,SCH_FTESECURITY_LEO_per_student,SCH_FTESECURITY_GUA_per_student,SCH_FTESERVICES_NUR_per_student,SCH_FTESERVICES_PSY_per_student,SCH_FTESERVICES_SOC_per_student,SCH_SAL_TEACH_WFED_per_student_log,SCH_SAL_SUP_WFED_per_student_log,SCH_SAL_ADM_WFED_per_student_log,SCH_SAL_TOTPERS_WFED_per_student_log
MI,2611600,Both,Yes,8095,Dearborn Magnet High School,261160008095,3.0,16.0,14.0,0.0,0.0,0,0,0.0,0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0033333333333333335,0.0,8.563083918181325,7.248316999397024,0.0,8.800797511123642
MI,2611600,Academic,Yes,8632,Dearborn Academic Center of Excellence,261160008632,1.0,34.0,12.0,0.0,0.0,0,0,0.0,0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11739130434782609,0.0,0.005434782608695652,0.0,0.010869565217391304,0.0,0.0010869565217391304,0.0071739130434782614,8.769429248007368,6.129189918023771,6.8612901272666225,8.967779629945136
MI,2611640,Academic,Yes,7904,Westwood Cyber High School,261164007904,38.0,77.0,95.0,5.0,0.0,0,0,0.0,0,2.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755813953488372,0.0,0.0005813953488372093,0.0,0.0,0.0,0.0005813953488372093,0.0,6.5239037429187405,6.775233343461717,6.758519825196884,7.811490778563476
MI,2611640,Academic,Yes,8604,Westwood Alternative Education High School North,261164008604,29.0,66.0,45.0,4.0,0.0,0,0,0.0,0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.0,0.0,0.0,0.0,0.0,0.0009009009009009009,0.0,7.1300408046399335,0.0,0.0,7.430295798398913
MI,2612540,Both,Yes,8667,WAY East Jackson,261254008667,1.0,39.0,27.0,0.0,0.0,1,0,0.0,0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.156342084957328,5.435837007647343,5.717127377459132,7.503139273576691
MI,2612810,Both,Yes,8569,Eau Claire Alternative Education,261281008569,4.0,24.0,11.0,0.0,0.0,0,0,0.0,0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,8.778196134101158,0.0,0.0,8.852593384216009
MI,2612930,Both,Yes,8849,Hope Academic Academy,261293008849,28.0,62.0,35.0,0.0,0.0,0,0,0.0,0,20.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,7.260203778300037,5.740124345299065,0.0,7.260203778300037
MI,2614070,Academic,Yes,4371,Farmington Central High School,261407004371,17.0,74.0,48.0,4.0,3.0,0,0,0.0,0,2.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530327868852459,0.0,0.00819672131147541,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,8.160108163404525,6.052183089296789,6.899586182919092,8.49973550865289
MI,2614280,Both,Yes,8350,Tri County Educational Center,261428008350,141.0,175.0,163.0,0.0,5.0,0,0,0.0,0,5.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029585798816568046,0.0,0.0,0.0,0.0,0.018579881656804735,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.0,0.0,6.608120398684979,6.0427522941428675,4.709210303676849,7.147640739386061
MI,2614460,Academic,Yes,8625,Fitzgerald Virtual Academy,261446008625,19.0,48.0,50.0,1.0,1.0,0,0,0.0,0,3.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7869590091123335,0.0,0.0,6.7869590091123335
MI,2614520,Both,Yes,2043,Accelerated Learning Academy,261452002043,36.0,113.0,44.0,5.0,0.0,0,0,0.0,0,2.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222929936305732,0.0,0.0,0.21019108280254778,0.0,0.05732484076433121,0.0,0.0015923566878980893,0.009554140127388535,0.012738853503184714,0.0031847133757961785,0.002101910828025478,0.002101910828025478,8.193099923951415,6.006748268382954,6.706507205262724,8.484212033092325
MI,2615150,Both,Yes,5192,Quest High School,261515005192,1.0,44.0,23.0,0.0,0.0,0,0,0.0,0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06268656716417911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.532776452667276,6.120690321908648,7.126562996377775,8.86418366954462
MI,2615540,Academic,Yes,2045,Cambridge High School,261554002045,66.0,252.0,181.0,11.0,0.0,0,0,0.0,0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10623556581986143,0.0,0.0,0.0,0.0,0.026558891454965358,0.0,0.004618937644341801,0.0,0.0,0.0,0.0,0.0023094688221709007,7.944744265544176,7.324870413656764,5.4568917018733005,8.14749751988506
MI,2615870,Both,Yes,8793,Lakeshore Virtual School,261587008793,3.0,126.0,86.0,0.0,0.0,0,0,0.0,0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.0006603773584905661,0.0006603773584905661,6.111403642540379,0.0,5.814488113618672,6.732727192131344
MI,2616080,Academic,Yes,588,East Lee Campus,261608000588,5.0,71.0,43.0,0.0,0.0,0,0,0.0,0,2.0,114.0,0.0,0.008771929824561403,0.0,0.0,0.008771929824561403,0.0,0.0,0.03508771929824561,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,0.054385964912280704,0.0,0.008771929824561403,0.0017543859649122807,0.0,0.0021929824561403508,0.0017543859649122807,0.0,7.9792413178029316,4.231883083699905,7.239318367635998,8.417068031158726
MI,2616440,Academic,Yes,885,Southeast Career Pathways,261644000885,19.0,43.0,25.0,2.0,0.0,0,0,0.0,0,12.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,8.418827793299547,6.2198431948903785,7.4986844682982925,8.873684027231638
MI,2616440,Academic,Yes,1364,Newcomers Community School,261644001364,19.0,50.0,35.0,0.0,0.0,0,0,0.0,0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.959277645485141,0.0,0.0,8.120015634722574
MI,2616440,Academic,Yes,8226,Grand Rapids Learning Center,261644008226,17.0,33.0,39.0,1.0,0.0,1,0,0.0,0,7.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.773471463955825,5.797063661418666,7.104071393366977,8.274089321206514
MI,2617760,Both,Yes,8223,Harper Academy,261776008223,22.0,21.0,22.0,3.0,0.0,0,0,0.0,0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0011627906976744186,0.0069767441860465115,0.0,0.0,0.0,7.328349853457248,0.0,0.0,7.328349853457248
MI,2617760,Both,Yes,8328,Diploma Success Community School,261776008328,122.0,92.0,125.0,1.0,0.0,0,0,0.0,0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,3.400890114798469,0.0,0.0,5.625812629917907
MI,2617760,Both,Yes,8490,Harper Woods Virtual Academy,261776008490,18.0,30.0,38.0,0.0,0.0,0,0,0.0,0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.538118706091301,0.0,0.0,6.783724827624065
MI,2617880,Academic,Yes,8746,Hartford Alternative Education,261788008746,2.0,30.0,28.0,0.0,0.0,0,0,0.0,0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.267971823354164,6.361325704031864,4.702720800850876,7.93988564208363
MI,2618030,Academic,Yes,8393,Invest Roosevelt Alternative High School,261803008393,7.0,137.0,123.0,0.0,0.0,0,0,0.0,0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.482913260639732,0.0,0.0,6.482913260639732
